source,fetched_at,term,url,title,text,author,region,category
Pinterest,2025-10-29T23:28:21.077887,iphone 17 air,https://www.pinterest.com/pin/1091208184854121185/,four different colors of the new iphone 11s and 12 pro camera phone cases are shown,four different colors of the new iphone 11s and 12 pro camera phone cases are shown,,,
Pinterest,2025-10-29T23:28:21.101357,iphone 17 air,https://www.pinterest.com/pin/4594305072415835648/,an iphone case with two cameras attached to it,an iphone case with two cameras attached to it,,,
Pinterest,2025-10-29T23:28:21.250420,iphone 17 air,https://www.pinterest.com/pin/519462138289307470/,iPhone 17 Air: Slim Innovation,iPhone 17 Air: Slim Innovation,,,
Pinterest,2025-10-29T23:28:21.279946,iphone 17 air,https://www.pinterest.com/pin/599119556721994229/,two people holding up their cell phones in front of a group of people taking pictures,two people holding up their cell phones in front of a group of people taking pictures,,,
Pinterest,2025-10-29T23:28:21.300618,iphone 17 air,https://www.pinterest.com/pin/193373377744779113/,a person holding up an iphone in front of a table with people looking at it,a person holding up an iphone in front of a table with people looking at it,,,
Pinterest,2025-10-29T23:28:21.323745,iphone 17 air,https://www.pinterest.com/pin/350154939809629720/,"an advertisement for the iphone 11 air, with its pink case and matching phone cover","an advertisement for the iphone 11 air, with its pink case and matching phone cover",,,
Pinterest,2025-10-29T23:28:21.346149,iphone 17 air,https://www.pinterest.com/pin/32791903532718528/,several different colored iphones sitting on top of a white table next to each other,several different colored iphones sitting on top of a white table next to each other,,,
Pinterest,2025-10-29T23:28:21.370921,iphone 17 air,https://www.pinterest.com/pin/4608519514788246272/,an orange iphone with two cameras on it's back and the front facing up,an orange iphone with two cameras on it's back and the front facing up,,,
Pinterest,2025-10-29T23:28:21.394425,iphone 17 air,https://www.pinterest.com/pin/935622891344771873/,an iphone 17 action button setup for customize tips and tricks,an iphone 17 action button setup for customize tips and tricks,,,
Pinterest,2025-10-29T23:28:21.413677,iphone 17 air,https://www.pinterest.com/pin/119978777572697083/,iPhone 17 Air,iPhone 17 Air,,,
