source,fetched_at,term,url,title,text,author,region,category
Pinterest,2025-11-03T12:11:42.660966,iphone 17 air,https://www.pinterest.com/pin/921126930047524103/,"someone holding an iphone in their hand with the text, iphone 17 black on it","someone holding an iphone in their hand with the text, iphone 17 black on it",,,
Pinterest,2025-11-03T12:11:42.660966,iphone 17 air,https://www.pinterest.com/pin/541698661454972581/,"an advertisement for the iphone air is shown in four different colors and sizes, including one black","an advertisement for the iphone air is shown in four different colors and sizes, including one black",,,
Pinterest,2025-11-03T12:11:42.660966,iphone 17 air,https://www.pinterest.com/pin/718113103127108914/,an image of a camera and a phone with the caption'iphone 17 ',an image of a camera and a phone with the caption'iphone 17 ',,,
Pinterest,2025-11-03T12:11:42.660966,iphone 17 air,https://www.pinterest.com/pin/266064290481512116/,the iphone 11 battery capacity is revealed in this ad for apple's new products,the iphone 11 battery capacity is revealed in this ad for apple's new products,,,
Pinterest,2025-11-03T12:11:42.660966,iphone 17 air,https://www.pinterest.com/pin/328340629139416629/,the iphone 7s and iphone 7c are compared to each other in different colors,the iphone 7s and iphone 7c are compared to each other in different colors,,,
Pinterest,2025-11-03T12:11:42.660966,iphone 17 air,https://www.pinterest.com/pin/460422761926640543/,someone holding up an iphone in front of the sky blue sign at an apple store,someone holding up an iphone in front of the sky blue sign at an apple store,,,
Pinterest,2025-11-03T12:11:42.660966,iphone 17 air,https://www.pinterest.com/pin/352899320822607498/,someone holding up their cell phone in front of the camera with clouds and blue sky,someone holding up their cell phone in front of the camera with clouds and blue sky,,,
Pinterest,2025-11-03T12:11:42.660966,iphone 17 air,https://www.pinterest.com/pin/579345939603594019/,two iphones sitting next to each other on top of a wooden table in front of a box,two iphones sitting next to each other on top of a wooden table in front of a box,,,
Pinterest,2025-11-03T12:11:42.660966,iphone 17 air,https://www.pinterest.com/pin/378583912445991697/,someone holding an orange iphone in front of a wall with stickers on the back,someone holding an orange iphone in front of a wall with stickers on the back,,,
Pinterest,2025-11-03T12:11:42.660966,iphone 17 air,https://www.pinterest.com/pin/35606653299837722/,four different colors of the new iphone 11s and 12 pro camera phone cases are shown,four different colors of the new iphone 11s and 12 pro camera phone cases are shown,,,
Pinterest,2025-11-03T12:11:42.660966,iphone 17 air,https://www.pinterest.com/pin/1106337464725459536/,a person holding an apple product in front of the box with it's packaging,a person holding an apple product in front of the box with it's packaging,,,
Pinterest,2025-11-03T12:11:42.660966,iphone 17 air,https://www.pinterest.com/pin/975521969297018930/,a person holding up a cell phone case with an iphone in it's hand,a person holding up a cell phone case with an iphone in it's hand,,,
Pinterest,2025-11-03T12:11:42.660966,iphone 17 air,https://www.pinterest.com/pin/643733340535041068/,a person holding an iphone in their hand with the back cover up and red sticker on it,a person holding an iphone in their hand with the back cover up and red sticker on it,,,
Pinterest,2025-11-03T12:11:42.660966,iphone 17 air,https://www.pinterest.com/pin/227783693649040080/,an abstract background with blue and white petals,an abstract background with blue and white petals,,,
Pinterest,2025-11-03T12:11:42.660966,iphone 17 air,https://www.pinterest.com/pin/519462138289307470/,iPhone 17 Air: Slim Innovation,iPhone 17 Air: Slim Innovation,,,
Pinterest,2025-11-03T12:11:42.660966,iphone 17 air,https://www.pinterest.com/pin/12525705208843956/,an orange iphone 11 is shown with the camera on it's back end and side facing up,an orange iphone 11 is shown with the camera on it's back end and side facing up,,,
Pinterest,2025-11-03T12:11:42.660966,iphone 17 air,https://www.pinterest.com/pin/904660643910601724/,someone holding an iphone in their hand with the back cover open to show the camera,someone holding an iphone in their hand with the back cover open to show the camera,,,
Pinterest,2025-11-03T12:11:42.660966,iphone 17 air,https://www.pinterest.com/pin/183521753562865215/,the front view of an iphone camera with its lens pointed at it's side,the front view of an iphone camera with its lens pointed at it's side,,,
Pinterest,2025-11-03T12:11:42.660966,iphone 17 air,https://www.pinterest.com/pin/350506783519753332/,an iphone is shown with the back side open and showing its camera's features,an iphone is shown with the back side open and showing its camera's features,,,
Pinterest,2025-11-03T12:11:42.660966,iphone 17 air,https://www.pinterest.com/pin/48906345949368198/,the new iphone 11 pro is shown in lila hues and features an image of a flower,the new iphone 11 pro is shown in lila hues and features an image of a flower,,,
