source,fetched_at,term,url,title,text,author,region,category,text_clean,tokens
Pinterest,2025-10-30T12:08:36.218603,iphone 17 pro,https://www.pinterest.com/pin/98657048083085958/,"the back side of an iphone xr with its camera facing forward, in front of a black background","the back side of an iphone xr with its camera facing forward, in front of a black background",,,,the back side of an iphone xr with its camera facing forward in front of a black,"['back', 'side', 'iphone', 'camera', 'facing', 'forward', 'front', 'black']"
Pinterest,2025-10-30T12:08:36.218603,iphone 17 pro,https://www.pinterest.com/pin/458874649556238873/,two hands holding an iphone case with buttons on it,two hands holding an iphone case with buttons on it,,,,two hands holding an iphone case with buttons on it,"['two', 'hand', 'holding', 'iphone', 'case', 'button']"
Pinterest,2025-10-30T12:08:36.218603,iphone 17 pro,https://www.pinterest.com/pin/37154765670877436/,a woman's hand holding an iphone case with a white ring on the front,a woman's hand holding an iphone case with a white ring on the front,,,,a woman s hand holding an iphone case with a white ring on the front,"['woman', 'hand', 'holding', 'iphone', 'case', 'white', 'ring', 'front']"
Pinterest,2025-10-30T12:08:36.218603,iphone 17 pro,https://www.pinterest.com/pin/4603241878777157888/,a person holding an iphone in front of a cup of coffee on a wooden table,a person holding an iphone in front of a cup of coffee on a wooden table,,,,a person holding an iphone in front of a cup of coffee on a wooden table,"['person', 'holding', 'iphone', 'front', 'cup', 'coffee', 'wooden', 'table']"
Pinterest,2025-10-30T12:08:36.218603,iphone 17 pro,https://www.pinterest.com/pin/117164027801329228/,an image of a black and purple background that looks like something out of the darkness,an image of a black and purple background that looks like something out of the darkness,,,,an image of a black and purple that looks like something out of the darkness,"['image', 'black', 'purple', 'look', 'like', 'something', 'darkness']"
Pinterest,2025-10-30T12:08:36.218603,iphone 17 pro,https://www.pinterest.com/pin/12525705208850326/,an iphone with two cameras sitting on top of it,an iphone with two cameras sitting on top of it,,,,an iphone with two cameras sitting on top of it,"['iphone', 'two', 'camera', 'sitting', 'top']"
Pinterest,2025-10-30T12:08:36.218603,iphone 17 pro,https://www.pinterest.com/pin/108649409754288807/,the new iphone 11 is shown in silver,the new iphone 11 is shown in silver,,,,the new iphone is shown in silver,"['new', 'iphone', 'shown', 'silver']"
Pinterest,2025-10-30T12:08:36.218603,iphone 17 pro,https://www.pinterest.com/pin/708683691403834068/,Warm cozy image of someone holding an iPhone in their hand.,Warm cozy image of someone holding an iPhone in their hand.,,,,warm cozy image of someone holding an iphone in their hand,"['warm', 'cozy', 'image', 'someone', 'holding', 'iphone', 'hand']"
Pinterest,2025-10-30T12:08:36.218603,iphone 17 pro,https://www.pinterest.com/pin/248331366948224136/,someone is holding an iphone case in their hand and it's inside the box,someone is holding an iphone case in their hand and it's inside the box,,,,someone is holding an iphone case in their hand and it s inside the box,"['someone', 'holding', 'iphone', 'case', 'hand', 'inside', 'box']"
Pinterest,2025-10-30T12:08:36.218603,iphone 17 pro,https://www.pinterest.com/pin/32932641019748473/,🥳🥳  Phone 📱 mania 🤩what do you think 💭 about this #iphone #android #iphonecase #idefend  Comment….❤️  #apple #iphone14promax #iphone15pro #tech #technology #iphonephotography #camera #iphone13 #iphone,"🥳🥳  Phone 📱 mania 🤩what do you think 💭 about this #iphone #android #iphonecase #idefend  Comment….❤️  #apple #iphone14promax #iphone15pro #tech #technology #iphonephotography #camera #iphone13 #iphone16 #zoom #smartphones #phone #_idefend_ #_idefend #fyp #foryou #viral #foryoupage #trending #funny #iphone14 #comedy #love #Samsung #android #iphone15  #technology #camera #smartphones #phone #reels Diy Resin Phone Case, Iphone Gifts, Pop Art Nails, Tech Organization, Barbie Fashion Sketches, Cool School Supplies, Phone Gift, Iphone Obsession, Telephone Accessories",,,,phone mania what do you think about this iphone android iphonecase idefend comment apple iphone promax iphone pro tech technology iphonephotography camera iphone iphone zoom smartphones phone idefend idefend fyp foryou viral foryoupage trending funny iphone comedy love samsung android iphone technology camera smartphones phone reels diy resin phone case iphone gifts pop art nails tech organization barbie fashion sketches cool school supplies phone gift iphone obsession telephone accessories,"['phone', 'mania', 'think', 'iphone', 'android', 'iphonecase', 'idefend', 'comment', 'apple', 'iphone', 'promax', 'iphone', 'pro', 'tech', 'technology', 'iphonephotography', 'camera', 'iphone', 'iphone', 'zoom', 'smartphones', 'phone', 'idefend', 'idefend', 'fyp', 'foryou', 'viral', 'foryoupage', 'trending', 'funny', 'iphone', 'comedy', 'love', 'samsung', 'android', 'iphone', 'technology', 'camera', 'smartphones', 'phone', 'reel', 'diy', 'resin', 'phone', 'case', 'iphone', 'gift', 'pop', 'art', 'nail', 'tech', 'organization', 'barbie', 'fashion', 'sketch', 'cool', 'school', 'supply', 'phone', 'gift', 'iphone', 'obsession', 'telephone', 'accessory']"
